ptNoList|^resultCode|^resultMsg|^rowno|^ptNo|^ptNm|^addr|^orgNm|^wmyr|^wmod|^wmwk|^wmdep|^lonDgr|^lonMin|^lonSec|^latDgr|^latMin|^latSec|^wmcymd|^itemLvl|^itemAmnt|^itemTemp|^itemPh|^itemDoc|^itemBod|^itemCod|^itemSs|^itemTcoli|^itemTn|^itemTp|^itemCd|^itemCn|^itemPb|^itemCr6|^itemAs|^itemHg|^itemCu|^itemAbs|^itemPcb|^itemOp|^itemMn|^itemTrans|^itemCloa|^itemCl|^itemZn|^itemCr|^itemFe|^itemPhenol|^itemNhex|^itemEc|^itemTce|^itemPce|^itemNo3n|^itemNh3n|^itemEcoli|^itemPop|^itemDtn|^itemDtp|^itemFl|^itemCol|^itemCcl4|^itemDceth|^itemDcm|^itemBenzene|^itemChcl3|^itemToc|^itemDehp|^itemAntimon|^itemDiox|^itemHcho|^itemHcb|^itemNi|^itemBa|^itemSe|^numOfRows|^pageNo|^totalCount
3008A40|^00|^NORMAL SERVICE|^21|^3008A40|^대청댐|^대전광역시 동구 추동 추동취수탑|^금강물환경연구소|^1991|^09|^1회차|^ |^127|^28|^44|^36|^22|^6|^19910912|^ |^ |^24.0|^7.2|^8.3|^1.5|^2.0|^1.8|^70|^0.371|^0.018|^0.000|^0.00|^0.00|^0.00|^0.000|^0.0000|^ |^0.0|^ |^ |^ |^ |^ |^ |^ |^ |^ |^0.000|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^999|^1|^988
3008A40|^00|^NORMAL SERVICE|^22|^3008A40|^대청댐|^대전광역시 동구 추동 추동취수탑|^금강물환경연구소|^1991|^10|^1회차|^ |^127|^28|^44|^36|^22|^6|^19911009|^ |^ |^24.0|^6.9|^6.4|^1.3|^1.7|^1.8|^49|^0.370|^0.017|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^0.000|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^999|^1|^988
3008A40|^00|^NORMAL SERVICE|^23|^3008A40|^대청댐|^대전광역시 동구 추동 추동취수탑|^금강물환경연구소|^1991|^11|^1회차|^ |^127|^28|^44|^36|^22|^6|^19911105|^ |^ |^12.0|^7.6|^9.4|^0.9|^1.2|^2.0|^49|^0.369|^0.021|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^0.000|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^999|^1|^988
3008A40|^00|^NORMAL SERVICE|^24|^3008A40|^대청댐|^대전광역시 동구 추동 추동취수탑|^금강물환경연구소|^1991|^12|^1회차|^ |^127|^28|^44|^36|^22|^6|^19911212|^ |^ |^7.0|^7.1|^9.8|^0.7|^1.2|^1.8|^30|^0.355|^0.019|^0.000|^0.00|^0.00|^0.00|^0.000|^0.0000|^ |^0.0|^ |^ |^ |^ |^ |^ |^ |^ |^ |^0.000|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^999|^1|^988
3008A40|^00|^NORMAL SERVICE|^25|^3008A40|^대청댐|^대전광역시 동구 추동 추동취수탑|^금강물환경연구소|^1992|^01|^1회차|^ |^127|^28|^44|^36|^22|^6|^19920110|^ |^ |^6.0|^7.2|^9.4|^1.1|^1.4|^2.5|^36|^0.997|^0.042|^0.000|^0.00|^0.00|^0.00|^0.000|^0.0000|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^0.000|^ |^110|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^999|^1|^988
3008A40|^00|^NORMAL SERVICE|^26|^3008A40|^대청댐|^대전광역시 동구 추동 추동취수탑|^금강물환경연구소|^1992|^02|^1회차|^ |^127|^28|^44|^36|^22|^6|^19920211|^ |^ |^5.0|^7.4|^10.0|^1.2|^1.5|^1.9|^70|^0.768|^0.038|^0.000|^0.00|^0.00|^0.00|^0.000|^0.0000|^ |^0.0|^ |^ |^ |^ |^ |^ |^ |^ |^ |^0.000|^ |^105|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^999|^1|^988
3008A40|^00|^NORMAL SERVICE|^27|^3008A40|^대청댐|^대전광역시 동구 추동 추동취수탑|^금강물환경연구소|^1992|^03|^1회차|^ |^127|^28|^44|^36|^22|^6|^19920305|^ |^ |^10.0|^7.1|^10.0|^1.2|^1.7|^2.3|^50|^1.056|^0.054|^0.000|^0.00|^0.00|^0.00|^0.000|^0.0000|^ |^0.0|^ |^ |^ |^ |^ |^ |^ |^ |^ |^0.000|^ |^118|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^999|^1|^988
3008A40|^00|^NORMAL SERVICE|^28|^3008A40|^대청댐|^대전광역시 동구 추동 추동취수탑|^금강물환경연구소|^1992|^04|^1회차|^ |^127|^28|^44|^36|^22|^6|^19920411|^ |^ |^17.0|^7.1|^8.3|^1.4|^1.6|^2.1|^80|^1.080|^0.050|^0.000|^0.00|^0.00|^0.00|^0.000|^0.0000|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^0.000|^ |^116|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^999|^1|^988
3008A40|^00|^NORMAL SERVICE|^29|^3008A40|^대청댐|^대전광역시 동구 추동 추동취수탑|^금강물환경연구소|^1992|^05|^1회차|^ |^127|^28|^44|^36|^22|^6|^19920501|^ |^ |^20.0|^7.4|^8.0|^1.5|^1.5|^1.8|^55|^0.624|^0.048|^0.000|^0.00|^0.00|^0.00|^0.000|^0.0000|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^0.000|^ |^145|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^999|^1|^988
3008A40|^00|^NORMAL SERVICE|^30|^3008A40|^대청댐|^대전광역시 동구 추동 추동취수탑|^금강물환경연구소|^1992|^06|^1회차|^ |^127|^28|^44|^36|^22|^6|^19920601|^ |^ |^24.0|^7.4|^7.4|^1.7|^1.9|^1.8|^65|^0.490|^0.036|^0.000|^0.00|^0.00|^0.00|^0.000|^0.0000|^0.000|^0.0|^ |^ |^ |^ |^ |^ |^ |^ |^ |^0.000|^ |^138|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^999|^1|^988
